player,team,height,weight
Corey Kispert,WAS,198.12,101.604608
Corey Maggette,DET,198.12,102.0582
Corie Blount,TOR,208.28,109.769264
Corliss Williamson,SAC,200.66,111.13004
Corsley Edwards,NOH,205.74,124.7378
Cory Alexander,CHA,185.42,86.18248
Cory Carr,CHI,193.04,95.25432
Cory Higgins,CHA,195.58,81.64656
Cory Jefferson,PHX,205.74,98.883056
Cory Joseph,DET,190.5,90.7184
Coty Clarke,BOS,200.66,102.0582
Courtney Alexander,NOH,195.58,92.98636
Courtney Fortson,HOU,180.34,83.91452
Courtney Lee,DAL,195.58,97.52228
Courtney Sims,NYK,210.82,111.13004
Craig Brackins,PHI,208.28,104.32616
Craig Ehlo,SEA,198.12,81.64656
Craig Smith,POR,200.66,120.20188
Craig Sword,WAS,190.5,88.904032
Cristiano Felicio,CHI,210.82,122.46984
Cuonzo Martin,MIL,195.58,96.615096
Curtis Borchardt,UTA,213.36,109.769264
Cuttino Mobley,LAC,193.04,97.52228
D'Angelo Russell,LAL,193.04,87.543256
D.J. Augustin,LAL,180.34,83.007336
D.J. Kennedy,CLE,195.58,97.068688
D.J. Wilson,TOR,208.28,104.779752
DJ Mbenga,NOH,213.36,115.66596
DJ Stephens,MEM,195.58,85.275296
DJ Strawberry,PHX,195.58,91.171992
DJ White,CHA,205.74,113.398
DaJuan Summers,LAC,203.2,108.86208
DaQuan Jeffries,MEM,195.58,100.697424
Daequan Cook,CHI,195.58,95.25432
Dahntay Jones,CLE,198.12,102.0582
Dairis Bertans,NOP,193.04,90.7184
Daishen Nix,HOU,193.04,102.511792
Dajuan Wagner,GSW,190.5,90.7184
Dakari Johnson,OKC,213.36,115.66596
Dakota Mathias,MEM,193.04,90.7184
Dalano Banton,TOR,200.66,92.532768
Dale Davis,DET,210.82,114.305184
Dale Ellis,CHH,200.66,92.98636
Dalen Terry,CHI,200.66,88.45044
Dalibor Bagaric,CHI,215.9,131.54168
Damian Jones,UTA,210.82,111.13004
Damian Lillard,POR,187.96,88.45044
Damien Inglis,MIL,203.2,111.583632
Damien Wilkins,IND,198.12,98.429464
Damion James,SAS,200.66,102.0582
Damion Lee,PHX,195.58,95.25432
Damir Markota,MIL,208.28,102.0582
Damjan Rudez,ORL,208.28,103.418976
Damon Jones,MIL,190.5,88.45044
Damon Stoudamire,SAS,177.8,77.56423199999999
Damone Brown,WAS,203.2,91.625584
Damyean Dotson,NYK,195.58,95.25432
Dan Dickau,LAC,182.88,81.64656
Dan Gadzuric,NYK,210.82,108.86208
Dan Langhi,MIL,210.82,99.79024
Dan Majerle,PHX,198.12,100.697424
Dan McClintock,DEN,213.36,122.46984
Dan Schayes,ORL,210.82,117.93392
Dana Barros,BOS,180.34,74.84268
Daniel Ewing,LAC,190.5,83.91452
Daniel Gafford,WAS,208.28,106.140528
Daniel Gibson,CLE,187.96,90.7184
Daniel Hamilton,ATL,200.66,88.45044
Daniel Ochefu,WAS,210.82,111.13004
Daniel Orton,PHI,208.28,124.7378
Daniel Oturu,TOR,203.2,108.86208
Daniel Santiago,MIL,215.9,116.119552
Daniel Theis,IND,203.2,111.13004
Danilo Gallinari,ATL,208.28,107.047712
Danny Ferry,SAS,208.28,106.59412
Danny Fortson,SEA,203.2,117.93392
Danny Granger,PHX,205.74,100.697424
Danny Green,CLE,198.12,97.52228
Danny Manning,DET,208.28,106.140528
Dante Cunningham,SAS,203.2,104.32616
Dante Exum,HOU,195.58,97.068688
Danuel House,WAS,200.66,97.52228
Danuel House Jr.,PHI,198.12,99.79024
Darington Hobson,MIL,200.66,95.25432
Dario Saric,OKC,208.28,102.0582
Darius Bazley,PHX,205.74,97.975872
Darius Days,HOU,200.66,111.13004
Darius Garland,CLE,185.42,87.089664
Darius Johnson-Odom,PHI,187.96,97.52228
Darius Miles,MEM,205.74,106.59412
Darius Miller,OKC,198.12,102.0582
Darius Morris,BKN,193.04,88.45044
Darius Songaila,PHI,205.74,112.490816
Darius Washington,SAS,187.96,88.45044
Darko Milicic,BOS,213.36,124.7378
Darnell Jackson,SAC,205.74,114.758776
Darrell Armstrong,NJN,185.42,81.64656
Darrell Arthur,DEN,205.74,106.59412
Darren Collison,LAL,182.88,72.57472
Darrick Martin,TOR,180.34,77.11064
Darrin Hancock,ATL,200.66,92.98636
Darrun Hilliard,SAS,198.12,99.79024
Darryl Watkins,NOH,210.82,117.026736
Darvin Ham,DET,200.66,108.86208
Daryl Macon,MIA,187.96,83.91452
David Andersen,NOH,210.82,112.037224
David Benoit,UTA,203.2,99.79024
David Duke Jr.,BKN,193.04,92.532768
David Harrison,IND,213.36,127.00576
David Johnson,TOR,193.04,92.079176
David Lee,SAS,205.74,111.13004
David Noel,MIL,198.12,104.32616
David Nwaba,HOU,195.58,99.336648
David Robinson,SAS,215.9,113.398
David Roddy,MEM,193.04,115.66596
David Stockton,UTA,180.34,74.84268
David Vanterpool,WAS,195.58,90.7184
David Vaughn,NJN,205.74,108.86208
David Wear,SAC,208.28,104.32616
David Wesley,CLE,185.42,92.079176
David West,GSW,205.74,113.398
David Wingate,SEA,195.58,84.821704
David Wood,MIL,205.74,104.32616
Davion Mitchell,SAC,182.88,91.625584
Davis Bertans,DAL,208.28,102.0582
Davon Reed,LAL,195.58,93.439952
