PLAYER_NAME,LOC_X,LOC_Y,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_DISTANCE,TEAM_NAME,SEASON
LeBron James,-10,-22,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,88,44,0,2PT Field Goal,9,Miami Heat,2012-13 Season
LeBron James,-220,119,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,0,-5,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,31,-2,0,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,-2,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,15,25,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,2,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,70,-16,0,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,0,1,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,-8,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,100,249,1,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,7,-17,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,13,0,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,95,239,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,23,-8,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,244,-24,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,174,28,1,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,9,1,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,181,170,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-68,179,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,177,26,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,4,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,177,172,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,170,175,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,193,154,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,37,19,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,7,1,0,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-89,146,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,4,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,67,108,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,0,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-4,9,0,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-5,64,1,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,-11,261,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,-10,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,0,9,0,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-11,4,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,47,58,0,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,40,12,1,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,12,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,0,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,1,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-116,89,1,2PT Field Goal,14,Miami Heat,2012-13 Season
LeBron James,193,44,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,21,17,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,3,8,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,12,7,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,1,104,0,2PT Field Goal,10,Miami Heat,2012-13 Season
LeBron James,0,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-185,67,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,173,20,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,146,41,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-120,12,1,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-125,101,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,13,7,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-97,36,0,2PT Field Goal,10,Miami Heat,2012-13 Season
LeBron James,4,7,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,4,4,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-8,9,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,171,181,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,2,89,0,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,7,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,0,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,15,45,1,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,-138,214,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,56,53,0,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,6,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,121,175,0,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,-7,58,1,2PT Field Goal,5,Miami Heat,2012-13 Season
LeBron James,9,0,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-11,9,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-87,135,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,-26,12,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-71,75,1,2PT Field Goal,10,Miami Heat,2012-13 Season
